장례식장명,항목,호실/상세,가격(만원)
"대구시민전문장례식장","장례식장 임대료","33.05m2",30
"대구시민전문장례식장","안치료","99.0m2",7.2
"대구시민전문장례식장","염습료","1회",30
"대구시민전문장례식장","염습료","1회 2인",25
"대구시민전문장례식장","염습료","1회 입관",45
"대구시민전문장례식장","염습료","1회",5
"대구요양병원장례식장","장례식장 임대료","165",69.6
"대구요양병원장례식장","안치료","6.6",9.6
"대구의료원 국화원 장례식장","장례식장 임대료","1일(45830/1시간) 462㎡(1",110
"대구의료원 국화원 장례식장","장례식장 임대료","1일(41660/1시간) 377㎡(1",100
"대구의료원 국화원 장례식장","장례식장 임대료","1일(12500/1시간) 132㎡(4",30
"대구의료원 국화원 장례식장","장례식장 임대료","1일(50000/1시간) 499㎡(1",120
"대구의료원 국화원 장례식장","장례식장 임대료","1일(37500/1시간) 314㎡(9",90
"대구의료원 국화원 장례식장","장례식장 임대료","1일(33330/1시간) 297㎡(9",80
"대구의료원 국화원 장례식장","장례식장 임대료","1일(16660/1시간) 155㎡(4",40
"대구의료원 국화원 장례식장","장례식장 임대료","1일(27080/1시간) 248㎡(7",65
"대구의료원 국화원 장례식장","장례식장 임대료","1회",20
"대구의료원 국화원 장례식장","장례식장 임대료","1회",30
"대구의료원 국화원 장례식장","안치료","1일(3.000/1시간)",7.2
"대구의료원 국화원 장례식장","염습료","1회",20
"대구의료원 국화원 장례식장","염습료","1회",30
"대구의료원 국화원 장례식장","염습료","1회",40
"대구전문장례식장","안치료","1일/24시간기준",7.2
"대구전문장례식장","염습료","1회",30
"대구전문장례식장","염습료","1회",5
"대구파티마병원장례식장","장례식장 임대료","약 165 ㎡  1일(24000/1시",57
"대구파티마병원장례식장","장례식장 임대료","약 132 ㎡  1일(18000/1시",43
"대구파티마병원장례식장","장례식장 임대료","약 118.8 ㎡ 1일(15000/1",34
"대구파티마병원장례식장","장례식장 임대료","약 495 ㎡  1일(49000/1시",116
"대구파티마병원장례식장","염습료","특수",30
"대동병원장례식장","장례식장 임대료","165m2 (50평) - 12시간기준",50
"대동병원장례식장","장례식장 임대료","181m2 (55평) - 12시간기준",55
"대동병원장례식장","장례식장 임대료","198m2 (60평) - 12시간기준",60
"대동병원장례식장","장례식장 임대료","165m2 (50평) - 12시간기준",50
"대동병원장례식장","장례식장 임대료","165m2 (50평) - 12시간기준",50
"대동병원장례식장","장례식장 임대료","181m2 (55평) - 12시간기준",55
"대동병원장례식장","장례식장 임대료","297m2 (90평) - 12시간기준",90
"대동병원장례식장","장례식장 임대료","1회 사용료",20
"대동병원장례식장","안치료","1일 100000원 / 시간당 800",10
"대동병원장례식장","염습료","2인",30
"대동병원장례식장","염습료","2인",50
"대성장례센터","장례식장 임대료","1회당",5
"대성장례센터","안치료","1시간당",0.5
"대성장례센터","염습료","1회",10
"대성장례센터","염습료","1회",40
"대성장례센터","염습료","1회",25
"대성장례식장","안치료","안치실사용료/3일",30
"대성장례식장","안치료","냉장실",5
"대성장례식장","염습료","입관일체",25
"대성장례식장","염습료","수세복 입히는 등등",13
"대소장례식장","장례식장 임대료","1호실",48
"대소장례식장","장례식장 임대료","vip",72
"대소장례식장","장례식장 임대료","2층3호",60
"대소장례식장","안치료","1일사용료",10
"대소장례식장","염습료","병사",30
"대소장례식장","염습료","외인사",30
"대소장례식장","염습료","자체입관시(시설사용료)",30
"대송장례식장","장례식장 임대료","1실/1일",90
"대송장례식장","장례식장 임대료","1실/1일",90
"대송장례식장","장례식장 임대료","1실/1일",70
"대송장례식장","장례식장 임대료","1실/1일",50
"대송장례식장","장례식장 임대료","1실/1일",80
"대송장례식장","장례식장 임대료","1회",30
"대송장례식장","안치료","1일",10
"대송장례식장","염습료","상황에 따라",30
"대송장례식장","염습료","초렴비",10
"대연장례식장","장례식장 임대료","60평",35
"대연장례식장","장례식장 임대료","90평",65
"대연장례식장","장례식장 임대료","70평",45
"대연장례식장","장례식장 임대료","1회 사용",20
"대연장례식장","안치료","1일",10
"대연장례식장","염습료","장례지도사 2인",30
"대영장례식장","장례식장 임대료","사용료1시간",5.5
"대영장례식장","장례식장 임대료","사용료1일(24시간)",70
"대영장례식장","장례식장 임대료","사용료1일(24시간)",40
"대영장례식장","장례식장 임대료","사용료1시간",3.5
"대영장례식장","안치료","1회",10
"대영장례식장","안치료","사용료1일(24시간)",10
"대영장례식장","안치료","사용료1시간",1
"대영장례식장","염습료","1회 입관실 사용료",20
"대영장례식장","염습료","2인 1조",30
"대영장례식장","염습료","2인1조",50
"대영장례식장","염습료","고인 안치시 소렴비용",10
"대우병원장례식장","안치료","1일",10
"대전보훈병원장례식장","장례식장 임대료","영결식장 사용료",8
"대전보훈병원장례식장","장례식장 임대료","(142.14m2/ 43평)/ 시간",2.6
"대전보훈병원장례식장","장례식장 임대료","(132.23m2/ 40평)/ 시간",2.4
"대전보훈병원장례식장","장례식장 임대료","(155.37m2/ 47평)/ 시간",2.8
"대전보훈병원장례식장","장례식장 임대료","(138.84m2/ 42평)/ 시간",2.5
"대전보훈병원장례식장","장례식장 임대료","(288.09m2/ 69평)/ 시간",3.9
"대전보훈병원장례식장","안치료","시간당*2000 1일기준",4.8
"대전보훈병원장례식장","염습료","상조 및 가족",20
"대전보훈병원장례식장","염습료","소독.대염.입관(자체입관)",25
"대전보훈병원장례식장","염습료","초염",13
"대전선병원장례식장","장례식장 임대료","1실/24시간 기준",74.4
"대전선병원장례식장","장례식장 임대료","1실/24시간 기준",57.6
"대전선병원장례식장","장례식장 임대료","1회",20
"대전선병원장례식장","안치료","1일기준",4.8
"대전선병원장례식장","염습료","1회기준",20
"대전선병원장례식장","염습료","1회",40
"대전선병원장례식장","염습료","1회기준",30
"대전을지대학교병원장례식장","안치료","안치료",4.8
"대전을지대학교병원장례식장","염습료","소아및자체입관",15
"대전을지대학교병원장례식장","염습료","입관(대렴)",25
"대전을지대학교병원장례식장","염습료","수시(소렴)",7
"대전장례식장","장례식장 임대료","2호실 198㎡60평/시간당 2500",60
"대전장례식장","장례식장 임대료","1호실 198㎡60평/시간당 2500",60
"대전장례식장","장례식장 임대료","5호실 132㎡40평/시간당 1800",43.2
"대전장례식장","장례식장 임대료","3호실 231㎡70평/시간당 2700",64.8
"대전장례식장","안치료","시간당 2000원",4.8
"대전장례식장","염습료","기본",25
"대전장례식장","염습료","사고사 및 18:00이후 입관시",35
"대전장례식장","염습료","소아 및 자체입관시",15
"대청병원 장례식장","안치료","시간",0.3
"대청병원 장례식장","염습료","대렴비",30
"대청병원 장례식장","염습료","초렴비",10
"대청병원 장례식장","염습료","특수",40
"대청병원 장례식장","염습료","(추가요금-운구차량 200000별도)",60
"대청병원 장례식장","염습료","내용에 따라 상의(300000~600",30
"대청병원 장례식장","염습료","특수",20
"대한병원장례식장","장례식장 임대료","24시간 사용료",20
"대한병원장례식장","장례식장 임대료","24시간 사용료",53
"대한병원장례식장","장례식장 임대료","24시간 사용료",75
"대한병원장례식장","장례식장 임대료","24시간 사용료",85
"대한병원장례식장","장례식장 임대료","24시간 사용료",48
"대한병원장례식장","장례식장 임대료","24시간 사용료",25
"대한병원장례식장","안치료","24시간 사용료",9
"대한병원장례식장","염습료","1회",30
"대한병원장례식장","염습료","1회",10
"대한병원장례식장","염습료","1회",30
"대한병원장례식장","염습료","1회",70
"대한병원장례식장","염습료","1회",15
"대한장례식장","안치료","1일(80000) 1시간(33000)",8
"대한장례식장","염습료","1회",30
"대한장례식장","염습료","1명",30
"대한장례식장","염습료","1명",20
"대한적십자사상주병원장례식장","장례식장 임대료","1호실/1일(99m2/30평형/76석",43.2
"대한적십자사상주병원장례식장","장례식장 임대료","3호실/1일(72m2/21평형/48석",34.8
"대한적십자사상주병원장례식장","장례식장 임대료","2호실/1일(84m2/25평형/62석",40.8
"대한적십자사상주병원장례식장","안치료","1일",4.8
"대한적십자사상주병원장례식장","염습료","염습실 사용료",15
"대한적십자사상주병원장례식장","염습료","시신입관",20
"더원실업 우란장례식장","장례식장 임대료","가족실접객실 분향실/1일",51
"더원실업 우란장례식장","장례식장 임대료","가족실접객실분향실/1일",35
"더원실업 우란장례식장","장례식장 임대료","1회",30
"더원실업 우란장례식장","염습료","1회",25
"더원실업 우란장례식장","염습료","1회",40
"더원실업 우란장례식장","염습료","1회",8
"더조은장례식장","장례식장 임대료","1시간 기준",3.8
"더조은장례식장","장례식장 임대료","1일/ 24시간 기준",67.2
"더조은장례식장","장례식장 임대료","1시간 기준",3.3
"더조은장례식장","장례식장 임대료","1시간 기준",2.8
"더조은장례식장","장례식장 임대료","1일/ 24시간 기준",90
"더조은장례식장","장례식장 임대료","1일/ 24시간 기준",79.2
"더조은장례식장","안치료","1시간 기준",0.4
"더조은장례식장","염습료","1구당",40
"더조은장례식장","염습료","1구당",48.6
"더조은장례식장","염습료","1회",19
"더조은장례식장","염습료","1회",14.8
"더조은장례식장","염습료","1회",11.1
"도계장례식장","장례식장 임대료","1실/1회(도계지역주민만이용가능)",10
"도계장례식장","장례식장 임대료","3일장 5일장 포함",10
"도리안장례식장","장례식장 임대료","1회",3
"도리안장례식장","안치료","1일(24시간)",5
"도리안장례식장","안치료","1일(24시간)",10
"도민장례식장","장례식장 임대료","165㎡.빈소접객실상주휴게실1상주샤워",60
"도민장례식장","장례식장 임대료","495㎡.빈소접객실상주휴게실3상주샤워",108
"도민장례식장","장례식장 임대료","495㎡.빈소접객실상주휴게실3상주샤워",108
"도민장례식장","장례식장 임대료","330㎡.빈소접객실상주휴게실2상주샤워",84
"도민장례식장","장례식장 임대료","1회",10
"도민장례식장","장례식장 임대료","상조회사등",30
"도민장례식장","장례식장 임대료","염습실/입관실",30
"독산장례식장","장례식장 임대료","1시간(분향실접객실)",2.5
"독산장례식장","장례식장 임대료","1시간(분향실접객실)",3
"독산장례식장","안치료","1시간",0.9
"동강병원장례식장","장례식장 임대료","1실/24시간 기준",32
"동강병원장례식장","장례식장 임대료","1실/24시간 기준",45
"동강병원장례식장","장례식장 임대료","1구당",20
"동강병원장례식장","안치료","1일",10
"동광양장례식장","장례식장 임대료","시간",4.2
"동광양장례식장","장례식장 임대료","시간",5
"동광양장례식장","장례식장 임대료","2시간",35
"동광양장례식장","안치료","일",10
"동광양장례식장","염습료","고인 염습 장례지도사 2명",30
"동광양장례식장","염습료","회",15
"동국대학교경주병원장례식장","장례식장 임대료","빈소(접객실)사용료",21.6
"동국대학교경주병원장례식장","장례식장 임대료","빈소(접객실)사용료",50
"동국대학교경주병원장례식장","장례식장 임대료","빈소(접객실)사용료",165
"동국대학교경주병원장례식장","장례식장 임대료","빈소(접객실)사용료",70
"동국대학교경주병원장례식장","장례식장 임대료","빈소(접객실)사용료",90
"동국대학교경주병원장례식장","안치료","1실/1일",7.2
"동국대학교경주병원장례식장","염습료","1회",15
"동국대학교경주병원장례식장","염습료","1회",20
"동국대학교일산장례식장","장례식장 임대료","입관실 사용료 / 회",30
"동국대학교일산장례식장","안치료","안치료 / 일",9.6
"동국대학교일산장례식장","염습료","1회 / 2인",30
"동국대학교일산장례식장","염습료","수시 및 염습 전 위생처리",35
"동군산병원장례예식장","장례식장 임대료","1일기준",120
"동군산병원장례예식장","장례식장 임대료","1일기준",120
"동군산병원장례예식장","장례식장 임대료","1일기준",120
"동군산병원장례예식장","장례식장 임대료","1일기준",150
"동군산병원장례예식장","장례식장 임대료","1일기준",195
"동군산병원장례예식장","장례식장 임대료","1일기준",255
"동군산병원장례예식장","장례식장 임대료","1일기준",20
"동군산병원장례예식장","안치료","1회기준",30
"동군산병원장례예식장","염습료","1구기준",40
"동군산병원장례예식장","염습료","1구기준",20
"동남권원자력의학원장례식장","안치료","1일/24시간기준",10
"동남권원자력의학원장례식장","염습료","1회",25
"동남권원자력의학원장례식장","염습료","1화",15
"동남권원자력의학원장례식장","염습료","1회",35
"동두천장례식장","장례식장 임대료","90",2.5
"동두천장례식장","장례식장 임대료","99",2.5
"동두천장례식장","안치료","1",12
"동두천중앙성모장례식장","장례식장 임대료","특실",3.5
"동두천중앙성모장례식장","장례식장 임대료","1호실/시간",3
"동두천중앙성모장례식장","장례식장 임대료","VIP/시간",3.5
"동래봉생병원장례식장","장례식장 임대료","1호실 / 45평 (국가유공자50% ",30
"동래봉생병원장례식장","장례식장 임대료","1호실 / 45평 (국가유공자50% ",30
"동래봉생병원장례식장","장례식장 임대료","3호실 / 55평 (국가유공자50% ",40
"동래봉생병원장례식장","장례식장 임대료","1구당",20
"동래봉생병원장례식장","염습료","1구당",25
"동래한서병원장례식장","장례식장 임대료","1회",25
"동래한서병원장례식장","안치료","12~24시간",10
"동래한서병원장례식장","염습료","2인1조",25
"동마산장례식장","장례식장 임대료","1회",20
"동마산장례식장","장례식장 임대료","염습실/입관실",40
"동마산장례식장","안치료","1일",8
"동백장례식장","장례식장 임대료","68평/1실/1시간당",3
"동백장례식장","장례식장 임대료","100평/1실/1시간당",3.9
"동백장례식장","장례식장 임대료","120평/1실/1시간당",4.3
"동백장례식장","장례식장 임대료","85평/1실/1시간당",3.4
"동백장례식장","염습료","1구당",40
"동백장례식장","염습료","1구당",30
"동백장례식장","염습료","1회",17
"동백장례식장","염습료","1회처리",7
"동부요양병원 장례식장","안치료","안치료",0.3
"동부요양병원 장례식장","염습료","대렴",25
"동부요양병원 장례식장","염습료","초렴",10
"동산병원장례식장","장례식장 임대료","1번사용",25
"동산병원장례식장","안치료","1일사용료",15
"동산병원장례식장","염습료","장례지도사2인",34
"동서천 장례식장","장례식장 임대료","1일/24시간",60
"동서천 장례식장","염습료","1구당",20
"동수원장례식장","장례식장 임대료","분향실접객실(1일기준)40평",36
"동수원장례식장","장례식장 임대료","분향실접객실(1일기준)25평",24
"동수원장례식장","장례식장 임대료","분향실접객실(1일기준)40평",36
"동수원장례식장","장례식장 임대료","염습실1일사용료",30
"동수원장례식장","안치료","1일(24시간) 사용료",7.2
"동수원장례식장","염습료","사고사부검시신",30
"동수원장례식장","염습료","염습비",30
"동수원장례식장","염습료","18시이후",40
"동수원장례식장","염습료","일반수시비",10
"동수원장례식장","염습료","사고외인사(훼손상태에따라)",50
"동신병원장례식장","장례식장 임대료","분향실 및 접객실(시간당)",2.5
"동신병원장례식장","장례식장 임대료","분향실 및 접객실(시간당)",3
"동신병원장례식장","장례식장 임대료","분향실 및 접객실(시간당)",2.7
"동신병원장례식장","안치료","안치냉장고사용료(시간당)",0.4
"동신병원장례식장","염습료","염습실대여",30
"동신병원장례식장","염습료","염습자체",40
"동아대학교병원장례식장","장례식장 임대료","1회",25
"동아대학교병원장례식장","안치료","1일/24시간 기준",10
"동아대학교병원장례식장","염습료","1구당",30
"동아메디병원장례식장","장례식장 임대료","70평",76
"동아메디병원장례식장","장례식장 임대료","30평",46
"동아메디병원장례식장","장례식장 임대료","60평",64
"동아메디병원장례식장","장례식장 임대료","1회",30
"동아메디병원장례식장","안치료","1일",9.6
"동안산병원장례식장","안치료","1시간",0.5
"동안산병원장례식장","염습료","시신염습",30
"동의의료원장례식장","장례식장 임대료","1회",25
"동의의료원장례식장","안치료","1일",10
"동인병원장례식장","장례식장 임대료","60평 1시간",2.3
"동인병원장례식장","장례식장 임대료","60평 1시간",2.3
"동인병원장례식장","장례식장 임대료","90평 1시간",4
"동인병원장례식장","장례식장 임대료","1회이용",30
"동인병원장례식장","안치료","1시간",0.5
"동인병원장례식장","염습료","2인1조",30
"동인병원장례식장","염습료","수시고인 자세교정",20
"동일죽장례식장","장례식장 임대료","100평",60
"동일죽장례식장","장례식장 임대료","80평",70
"동일죽장례식장","장례식장 임대료","40평",30
"동일죽장례식장","안치료","안치료",7
"동일죽장례식장","염습료","염습실사용료/염습료",30
"동일죽장례식장","염습료","자체 / 상조회 입관실사용료",30
"동일죽장례식장","염습료","수시료",10
"동전주 장례문화원","장례식장 임대료","33058m2",105.6
"동전주 장례문화원","장례식장 임대료","16529m2",84
"동전주 장례문화원","장례식장 임대료","1회",30
"동주병원장례식장","염습료","수시",15
"동창원장례식장","장례식장 임대료","1일",40
"동창원장례식장","장례식장 임대료","1일",80
"동창원장례식장","장례식장 임대료","1일",60
"동창원장례식장","장례식장 임대료","1회",25
"동창원장례식장","장례식장 임대료","1회",30
"동창원장례식장","안치료","1일",9
"동해동인병원장례식장","염습료","소독.세척시설냉난방겸비",36
"동해병원장례식장","장례식장 임대료","1회",3.5
"동해병원장례식장","장례식장 임대료","자체입관시 1회",20
"동해병원장례식장","장례식장 임대료","상조회입관시 1회",40
"동해병원장례식장","염습료","대소렴입관",30
"동해병원장례식장","염습료","수시비",10
"동해전문장례식장","안치료","시간당",0.3
"동해전문장례식장","염습료","2인1조",30
"드림병원장례식장","장례식장 임대료","빈소+접객실",48
"드림병원장례식장","장례식장 임대료","특별1호실 1일840000원(1시간당",84
"드림병원장례식장","장례식장 임대료","200000원",20
"드림병원장례식장","안치료","1일72000원 1시간당3000원",7.2
"드림병원장례식장","염습료","300000원",30
"마량장례식장","안치료","안치실 사용료",6
"마량장례식장","염습료","2인",30
"마량장례식장","염습료","수시비",10
"마송장례식장","안치료","1일(24시간기준)",10.8
"마송장례식장","염습료","대염입관",25
"마송장례식장","염습료","초염",15
"만평장례식장","장례식장 임대료","1일/ 약 100명 수용",100
"만평장례식장","장례식장 임대료","1일/ 약 250명 수용",190
"만평장례식장","장례식장 임대료","1일/ 약 180명 수용",150
"만평장례식장","장례식장 임대료","1일/ 약 180명 수용",150
"만평장례식장","장례식장 임대료","1일/ 약 130명 수용",150
"만평장례식장","장례식장 임대료","1일/ 약 250명 수용",190
"만평장례식장","장례식장 임대료","1일/ 약 120명 수용",150
"만평장례식장","장례식장 임대료","1일/약 80명 수용",80
"만평장례식장","장례식장 임대료","1회 기준",40
"만평장례식장","안치료","1일 기준",15
"맑은샘병원장례식장","안치료","1일",10
"메디인병원장례식장","장례식장 임대료","1일",60
"메디인병원장례식장","장례식장 임대료","1일",48
"메디인병원장례식장","장례식장 임대료","1일",84
"메디인병원장례식장","장례식장 임대료","1일",120
"메디인병원장례식장","안치료","1일",12
"메디인병원장례식장","염습료","1회",30
"메디인병원장례식장","염습료","1회",20
"메디팜병원장례식장","안치료","1구",5
"메디힐병원장례식장","안치료","1일사용료(24시간기준)",8.4
"메디힐병원장례식장","염습료","1회",30
"메디힐병원장례식장","염습료","1회",15
"메디힐장례식장","장례식장 임대료","빈소.접객실.휴계실.샤워실/시간",3.4
"메디힐장례식장","장례식장 임대료","빈소.접객실.휴계실.샤워실/시간",2.5
"메디힐장례식장","염습료","대렴(고인입관) 10시~18시",40
"메디힐장례식장","염습료","수시고인안치",20
"메리놀병원장례식장","장례식장 임대료","염습실",25
"메리놀병원장례식장","안치료","안치료",15
"메리놀병원장례식장","염습료","1인",18
"메리놀병원장례식장","염습료","행사진행비",30
"메리놀병원장례식장","염습료","시신 메이크업 / 복원",18
"메리놀병원장례식장","염습료","생화100%",30
"면목녹색병원 장례식장","장례식장 임대료","1시간",4
"면목녹색병원 장례식장","장례식장 임대료","1회",30
"면목녹색병원 장례식장","안치료","24시간",24
"명덕효요양병원부속백화원","안치료","1일",9.6
"명품병원장례문화원","장례식장 임대료","1회",10
"명품병원장례문화원","장례식장 임대료","1회",10
"명품병원장례문화원","안치료","1시간",0.9
"명품병원장례문화원","염습료","1회 2명",30
"모레아장례식장","장례식장 임대료","시간당",1.5
"모레아장례식장","장례식장 임대료","시간당",1.5
"모레아장례식장","장례식장 임대료","시간당",3.7
"모레아장례식장","장례식장 임대료","시간당",2
"모레아장례식장","장례식장 임대료","시간당",2.9
"모레아장례식장","장례식장 임대료","시간당",1.5
"모레아장례식장","안치료","고인 안치료",0.4
"목포기독병원장례식장","안치료","하루 사용료",10
"목포기독병원장례식장","염습료","수시복제공",15
"목포성심장례문화원","장례식장 임대료","1일기준(오전12시부터 오후12시)",50
"목포성심장례문화원","장례식장 임대료","1일기준(오전12시부터 오후12시)",30
"목포성심장례문화원","장례식장 임대료","1일기준(오전12시부터 오후12시)",40
"목포성심장례문화원","장례식장 임대료","고인 입관실사용료(상조포함) 1회",30
"목포성심장례문화원","안치료","1일기준",7
"목포시의료원장례식장","장례식장 임대료","분향실접객실상주휴게실샤워실주방",40
"목포시의료원장례식장","장례식장 임대료","분향실접객실상주휴게실샤워실주방",40
"목포시의료원장례식장","장례식장 임대료","분향실접객실상주휴게실샤워실주방",60
"목포시의료원장례식장","안치료","안치냉장고 사용료",5
"목포시의료원장례식장","염습료","심야-당일 17:00~익일08:00 ",35
"목포시의료원장례식장","염습료",".",30
"목포시의료원장례식장","염습료","자체입관시",20
"목포시의료원장례식장","염습료","수시초혼비",10
"목포장례식장","장례식장 임대료","입관실사용료(상조이용시)",30
"목포장례식장","안치료","1실",25
"목포장례식장","염습료","1회",30
"목포장례식장","염습료","1회",15
"목포하당장례식장","장례식장 임대료","301호 2박3일 시간당34000원",160
"목포하당장례식장","장례식장 임대료","202호 2박3일 시간당34000원",160
"목포하당장례식장","장례식장 임대료","302호 2박3일 시간당34000원",160
"목포하당장례식장","장례식장 임대료","103호 2박3일 시간당32000원",150
"목포하당장례식장","장례식장 임대료","102호 2박3일 시간당25000원",120
"목포하당장례식장","장례식장 임대료","101호 2박3일 시간당18800원",90
"목포하당장례식장","장례식장 임대료","201호 2박3일 시간당34000원",160
"목포하당장례식장","장례식장 임대료","염습실사용료 2박3일",25
"목포하당장례식장","안치료","안치실사용료 2박3일",30
"무안제일병원 무안장례식장","안치료","3일기준",21
"무안초당병원장례식장","장례식장 임대료","40평",40
"무안초당병원장례식장","장례식장 임대료","40평",40
"무안초당병원장례식장","장례식장 임대료","80평",40
"무안초당병원장례식장","장례식장 임대료","입관시설",20
"무안초당병원장례식장","안치료","냉장실",7
"문경장례식장","장례식장 임대료","1시간기준",2.6
"문경장례식장","장례식장 임대료","1시간기준",3
"문경장례식장","장례식장 임대료","1시간기준",2.8
"문경장례식장","장례식장 임대료","1회",70
"문경장례식장","안치료","1시간당",0.9
"문경제일병원장례식장","장례식장 임대료","1실/1시간기준",2
"문경제일병원장례식장","장례식장 임대료","1실/1시간기준",2.5
"문경제일병원장례식장","안치료","1시간당",0.8
"문산장례문화원","장례식장 임대료","85평  / 1일",120
"문산장례문화원","장례식장 임대료","60 평 / 1일",96
"문산장례문화원","장례식장 임대료","23평 / 일",40.8
"문산장례문화원","장례식장 임대료","52 평 / 1일",76.8
"문산장례문화원","안치료","1일 / 일",10
"문산장례문화원","염습료","2인",30
"문산장례문화원","염습료","2인",15
"문산장례식장","장례식장 임대료","1회기준",20
"문산장례식장","장례식장 임대료","1회기준",25
"문산장례식장","안치료","안치료",10
"문요양병원장례식장","장례식장 임대료","분향실접객실상주전용(휴게실샤워실화장실",90
"문요양병원장례식장","장례식장 임대료","분향실접객실상주전용(휴게실샤워실화장실",70
"문요양병원장례식장","장례식장 임대료","분향실접객실상주전용(휴게실샤워실화장실",54
"문요양병원장례식장","장례식장 임대료","발인실 대실료(발인제)",5
"문요양병원장례식장","장례식장 임대료","입관대실료(대렴)",30
"문요양병원장례식장","안치료","안치료",9
"문요양병원장례식장","염습료","1회",20
"문요양병원장례식장","염습료","1회",10
"미루병원장례식장","장례식장 임대료","빈소접객실상주휴게실",80
"미루병원장례식장","장례식장 임대료","빈소접객실상주휴게실",70
"미루병원장례식장","장례식장 임대료","빈소접객실상주휴게실",80
"미루병원장례식장","장례식장 임대료","1회",20
"미루병원장례식장","장례식장 임대료","종교별 (1회)",10
"미루병원장례식장","안치료","안치냉장고 사용료",10
"미루병원장례식장","염습료","1회",25
"미루병원장례식장","염습료","1회",10
"밀양병원장례식장","장례식장 임대료","1일",45
"밀양병원장례식장","장례식장 임대료","1일",35
"밀양병원장례식장","장례식장 임대료","1일",30
"밀양병원장례식장","안치료","1일",10
"밀양병원장례식장","염습료","2인",25
"밀양시민장례식장","장례식장 임대료","분향실 150석",70
"밀양시민장례식장","장례식장 임대료","분향실60석",40
"밀양시민장례식장","장례식장 임대료","분향실40석",30
"밀양시민장례식장","장례식장 임대료","1회사용료",25
"밀양시민장례식장","안치료","안치료",10
"밀양시민장례식장","염습료","2인",25
"바른병원장례식장","장례식장 임대료","70평",60
"바른병원장례식장","장례식장 임대료","80평",70
"바른병원장례식장","안치료","1일/24시간 기준",9.6
"바른병원장례식장","염습료","대렴입관사용료",30
"바른병원장례식장","염습료","초렴",5
"반송장례식장","장례식장 임대료","빈소+접객실",25
"반송장례식장","장례식장 임대료","빈소+접객실",35
"반송장례식장","장례식장 임대료","빈소+접객실",10
"반송장례식장","장례식장 임대료","1실 24시간 기준-수급자/ 무료제공",10
"반송장례식장","안치료","1일24시간 기준",10
"반송장례식장","염습료","1구당",20
"배방장례식장","안치료","1일 기준",12
"배방장례식장","염습료","주간(300000) /야간(40000",30
"배성병원장례식장","장례식장 임대료","24시간 기준 1시간 40000원",96
"배성병원장례식장","장례식장 임대료","24시간 기준 1시간 27000원",64.8
"배성병원장례식장","장례식장 임대료","24시간 기준 1시간 31000원",74.4
"배성병원장례식장","안치료","24시간 기준 1시간 4000원",9.6
"배성병원장례식장","염습료","2인1조(1구당)",30
"배성병원장례식장","염습료","초렴",10
"백년장례문화원","장례식장 임대료","50평",50
"백년장례문화원","장례식장 임대료","100평",90
"백년장례문화원","장례식장 임대료","60평",60
"백년장례문화원","장례식장 임대료","40평",40
"백년장례문화원","장례식장 임대료","20평",35
"백년장례문화원","염습료","1일(안치실빈소)",5
"백년장례문화원","염습료","1회(수시입관시)",5
"백년장례문화원","염습료","입관(2인1조)",35
"백년장례문화원","염습료","(18:00~익일08:00)",40
"백병원장례식장","장례식장 임대료","1회",30
"백병원장례식장","염습료","입관 (2인)",30
"백병원장례식장","염습료","수시소독 (2인)",20
"백악관장례식장","장례식장 임대료","염습실/입관실",40
"백악관장례식장","염습료","2인1조",40
"백악관장례식장","염습료","2인1조",30
"백제병원장례식장","장례식장 임대료","1실/24시간기준",80
"백제병원장례식장","장례식장 임대료","1일24시간기준",10
"백제병원장례식장","장례식장 임대료","1실/24시간기준",53
"백제병원장례식장","장례식장 임대료","1실/24시간기준 국가유공자(20%감",68
"백제병원장례식장","안치료","1실/24시간기준",9.6
"백제병원장례식장","염습료","1구당",30
"백제병원장례식장","염습료","1구당",15
"벌교삼성병원장례식장","장례식장 임대료","1일당",40
"벌교삼성병원장례식장","장례식장 임대료","1일당",35
"벌교삼성병원장례식장","장례식장 임대료","시간당",3
"벌교삼성병원장례식장","장례식장 임대료","1회",20
"벌교삼성병원장례식장","안치료","1일당",5
"벌교삼성병원장례식장","염습료","1회",30
"벌교장례식장","장례식장 임대료","시간당",3
"벌교장례식장","장례식장 임대료","벌교1호실2호실 (통합1일당)",50
"벌교장례식장","장례식장 임대료","벌교1호(1일당)",40
"벌교장례식장","장례식장 임대료","회",20
"벌교장례식장","안치료","일",5
"벌교장례식장","염습료","염슴및입관료",30
"벌교중앙장례식장","안치료","1일",7
"벌교중앙장례식장","염습료","1회",30
"벌교중앙장례식장","염습료","1회",10
"법성장례식장","장례식장 임대료","1일",18
"법성장례식장","장례식장 임대료","1일기준 (1시간 35000_",50
"법성장례식장","안치료","1일",10
"법성장례식장","안치료","#NAME?",25
"베스트장례식장","장례식장 임대료","빈소임대료 / 1일",108
"베스트장례식장","장례식장 임대료","빈소임대료 / 1일",60
"베스트장례식장","장례식장 임대료","빈소임대료 / 1일",108
"베스트장례식장","장례식장 임대료","빈소임대료 / 1일",108
"베스트장례식장","장례식장 임대료","염습실임대료 1일",40
"베스트장례식장","장례식장 임대료","빈소임대료 / 1일",84
"베스트장례식장","안치료","안치실이용료/시간",0.3
"베스트장례식장","염습료","2인",40
"베스트장례식장","염습료","2인",20
"별그리다(사담재)","장례식장 임대료","빈소접객실상주휴게실 사용료(시간당)",5
