시설명,주소,전화번호
"가산면 제2공설묘지","경기도 포천시 가산면 가산리 산72","031-538-4311"
"가산면 제1공설묘지","경기도 포천시 가산면 감암리 산12","031-538-4311"
"이동공설묘지(만장)","경기도 의왕시 이동 산57","031-345-2833"
"학의동공설묘지(만장)","경기도 의왕시 학의동 산14","031-345-2833"
"창수면 제3공설묘지","경기도 포천시 창수면 가양리 산208","031-538-4411"
"창수면 제2공설묘지","경기도 포천시 창수면 주원리 산128","031-538-4411"
"천주교 양산동묘원","광주광역시 북구 양산동 산87-6","062-227-7124"
"표선면공설묘지","제주특별자치도 서귀포시 표선면 서성일로189번길 313 (성읍리)","064-760-4431"
"하늘의문(마전동)","인천광역시 서구 마전동 산164","032-564-4131"
"안양시청계공설묘지(만장)","경기도 의왕시 청계동 산8-5","031-421-9165"
"정읍시입암묘지공원","전라북도 정읍시 입암면 연월리 산159","063-539-7153"
"청평면공설묘지","경기도 가평군 가평읍 상색리 산64-3","031-580-4120"
"창리공설묘지","인천광역시 강화군 선원면 창리 산84","032-930-3702"
"조천읍공설묘지","제주특별자치도 제주시 조천읍 선흘리 4116","064-728-7831"
"초지리공설묘지","인천광역시 강화군 길상면 초지리 산20","032-930-3604"
"충해공원묘지","경상남도 거제시 연초면 천곡리 산71","055-639-3806"
"후방산 공설묘지","전라북도 진안군 진안읍 중앙로 67 (군하리, 진안군청)","063-430-2314"
"천도교 무봉공원","경기도 포천시 소흘읍 무봉리 산141-1","02-732-3956"
"하도리공설묘지","인천광역시 강화군 송해면 하도리 산13","032-934-4302"
"하늘의문(당하동)","인천광역시 서구 당하동 산152","032-564-4131"
"임실군공설묘지","전라북도 임실군 성수면 월평리 산193","063-640-2605"
"혜화동성당 도봉동묘원","서울특별시 도봉구 도봉동 산66-9","02-764-0221"
"도장리공설묘지","인천광역시 강화군 양도면 도장리 산121","032-937-2001"
"동강면공설묘지","전라남도 나주시 동강면 월양리 15-11","061-339-3538"
"동검리공설묘지","인천광역시 강화군 길상면 동검리 산122","032-930-3604"
"두운리공동묘지","인천광역시 강화군 불은면 두운리 산243","032-937-5301"
"말도공설묘지","인천광역시 강화군 서도면 말도리 산21","032-934-2183"
"망우역사문화공원","서울특별시 중랑구 망우로91길 2 (망우동, 중랑망우공간)","02-496-8976"
"망월리공설묘지","인천광역시 강화군 하점면 망월리 산 44","032-930-4473"
"매음리공설묘지","인천광역시 강화군 삼산면 매음리 산296","032-930-3612"
"문평면공설묘지","전라남도 나주시 문평면 북동리 산119-3","061-339-8474"
"반남면공설묘지","전라남도 나주시 반남면 흥덕리 302-33","061-339-3658"
"벽제리묘지","경기도 고양시 덕양구 보광로 193-2 (벽제동)","031-964-3443"
"보성공설묘지","전라남도 보성군 보성읍 대야리 1644-1","061-850-5614"
"볼음공설묘지","인천광역시 강화군 서도면 볼음도리 산82","032-934-2183"
"봉소리공설묘지","인천광역시 강화군 교동면 봉소리 180-1","032-930-3611"
"봉황면공설묘지","전라남도 나주시 봉황면 철천리 산132","061-339-8473"
"부근리공설묘지","인천광역시 강화군 하점면 부근리 산148","032-930-4473"
"부활동산종교재단법인","전라남도 나주시 봉황면 송현리 산74-2","061-332-7978"
"북면공설묘지","경기도 가평군 북면 제령리 산78-3","031-580-4255"
"북성리공설묘지","인천광역시 강화군 양사면 북성리 산179","032-934-2183"
"사기리공설묘지","인천광역시 강화군 화도면 사기리 산116","032-930-3605"
"산포면공설묘지","전라남도 나주시 산포면 신도리 산24-1","061-339-8473"
"삼거리공설묘지","인천광역시 강화군 하점면 삼거리 산256","032-930-4473"
"덕하2리공설묘지","인천광역시 강화군 양사면 덕하리 산352","032-934-2183"
"덕하1리공설묘지","인천광역시 강화군 양사면 덕하리 산304","032-934-2183"
"가평읍 공설묘지(구 제1공설묘지)","경기도 가평군 가평읍 상색리 산64-3","031-580-4010"
"고능리공동묘지","인천광역시 강화군 불은면 고능리 172","032-937-5301"
"고천리공설묘지","인천광역시 강화군 내가면 고천리 산11","032-930-3607"
"공산면공설묘지","전라남도 나주시 공산면 금곡리 317-3","061-339-3686"
"교산리공설묘지(별립산)","인천광역시 강화군 양사면 교산리 산355-1","032-934-2183"
"구례군공설묘지","전라남도 구례군 마산면 사도리 산34","061-781-6095"
"북성리공설묘지","인천광역시 강화군 양사면 북성리 산179","032-934-2183"
"국화리공설묘지","인천광역시 강화군 강화읍 국화리 산291","032-934-0003"
"금남동공설묘지","전라남도 나주시 보산동 산3","061-339-8475"
"길정리공설묘지","인천광역시 강화군 양도면 길정리 산228-1","032-937-2001"
"길직1리공설묘지","인천광역시 강화군 길상면 길직리 산247","032-930-3604"
"길직2리공설묘지","인천광역시 강화군 길상면 길직리 1164-2","032-930-3604"
"천주교나주성당공원묘지","전라남도 나주시 청동 산81-1","061-334-2123"
"남산리공설묘지","인천광역시 강화군 강화읍 남산리 산50","032-934-0003"
"남원읍공설묘지","제주특별자치도 서귀포시 남원읍 서성로 955-24 (수망리, 공동장례식장)","064-760-4134"
"남평읍공설묘지","전라남도 나주시 남평읍 교원리 산10-1","061-339-3527"
"내곡리묘지","경기도 남양주시 진접읍 내곡리 558-3","02-434-3337"
"넙성리공동묘지","인천광역시 강화군 불은면 넙성리 산5","032-937-5301"
"구좌읍공설묘지","제주특별자치도 제주시 구좌읍 송당리 54-1","064-728-7723"
"국화리공설묘지","인천광역시 강화군 강화읍 국화리 산291","032-934-0003"
"당산리공설묘지","인천광역시 강화군 송해면 당산리 산58","032-934-4302"
"대정읍공설묘지","제주특별자치도 서귀포시 대정읍 보성리 2135","064-760-4031"
"덕성리공동묘지","인천광역시 강화군 불은면 덕성리 737-8","032-937-5301"
"삼동암공동묘지","인천광역시 강화군 불은면 삼동암리 산217","032-937-5301"
"성북동공설묘지","전라남도 나주시 대호동 산161","061-339-8474"
"의정부시공설묘지","경기도 양주시 광적면 석우리 산19","031-828-4195"
"영산동공설묘지","전라남도 나주시 평산동 산65-4","061-339-8475"
"세지면공설묘지","전라남도 나주시 세지면 대산리 산108","061-339-3621"
"우도면공설묘지","제주특별자치도 제주시 우도면 연평리 394","064-728-4331"
"송월교회(묘지)","인천광역시 서구 마전동 산72-1","032-765-7851"
"숭뢰리공설묘지","인천광역시 강화군 송해면 숭뢰리 산63","032-934-4302"
"용담망향의공설묘지","전라북도 진안군 용담면 송풍리 산101-1","063-430-8206"
"신삼리공설묘지","인천광역시 강화군 하점면 신삼리 산107","032-930-4473"
"신정리공설묘지","인천광역시 강화군 선원면 신정리 산63","032-930-3702"
"왕곡면공설묘지","전라남도 나주시 왕곡면 덕산리 산74","061-339-3639"
"신현리공동묘지","인천광역시 강화군 불은면 신현리 산59","032-937-5301"
"아차공설묘지","인천광역시 강화군 서도면 아차도리 산13","032-934-2183"
"안덕면공설묘지","제주특별자치도 서귀포시 안덕면 상창리 1119","064-760-4331"
"애월읍공설묘지","제주특별자치도 제주시 애월읍 광령리 산157","064-728-8831"
"어승생공설묘지","제주특별자치도 제주시 연동 2488-1","064-728-2563"
"영강동공설묘지","전라남도 나주시 안창동 97","061-339-8473"
"설악면공설묘지","경기도 가평군 설악면 선촌리 산50","031-580-4055"
"이창동공설묘지","전라남도 나주시 이창동 산19-1","061-339-8474"
"삼성리공동묘지","인천광역시 강화군 불은면 삼성리 산77-2","032-937-5301"
"삼흥리공설묘지","인천광역시 강화군 양도면 삼흥리 산171","032-937-2001"
"상면공설묘지","경기도 가평군 상면 연하리 산88-6","031-580-4170"
"상용리공설묘지","인천광역시 강화군 교동면 상용리 산215","032-930-3611"
"색달동공설묘지","제주특별자치도 서귀포시 색달동 산2-1","064-760-6522"
"서검리공설묘지","인천광역시 강화군 삼산면 서검리 산50","032-930-3612"
"서부공설묘지","제주특별자치도 제주시 연동 1203","064-728-2563"
"서산시희망공원(묘지)","충청남도 서산시 인지면 무학재2길 106 (산동리)","041-660-2719"
"석모리공설묘지","인천광역시 강화군 삼산면 석모리 산308","032-930-3612"
"석포리공설묘지","인천광역시 강화군 삼산면 석포리 산83","032-930-3612"
"인화리공설묘지","인천광역시 강화군 양사면 인화리 산336","032-934-2183"
"선두리공설묘지","인천광역시 강화군 길상면 선두리 산204","032-930-3604"
"예수장로회 제주교회묘지","제주특별자치도 제주시 구좌읍 세화리 2453-2","064-722-3091"
"경산공원묘원","경상북도 경산시 남천면 남성현로 1011-208 (하도리)","053-814-9900"
"조천장로교회묘지","제주특별자치도 제주시 조천읍 와산리 462","064-783-6078"
"갑산공원묘원","경기도 양평군 양서면 건지미길 5 (양수리, 갑산공원묘원)","031-774-9348"
"(재)분당메모리얼파크","경기도 성남시 분당구 새나리로 79 (야탑동)","031-704-6508"
"(재)대한예수교장로회 기독교공동묘원","제주특별자치도 제주시 아라일동 296","064-753-1231"
"(재)전주공원묘원","전라북도 진안군 부귀면 모래재로 571 (세동리, 모래공원)","063-433-9104"
"정자공원묘원","경기도 용인시 수지구 대지로 313 (죽전동)","031-264-8481"
"인천기독교장로회묘지","인천광역시 서구 당하동 산178-2",""
"금천면공설묘지(폐쇄)","전라남도 나주시 금천면 오강리 산33","061-339-8475"
"조수천주교묘지","제주특별자치도 제주시 한경면 조수리 4041","064-773-2217"
"(재)하늘공원 묘원","전라북도 무주군 적상면 방이리 산158-1","063-320-4000"
"(재)금곡장미공원","경상북도 경산시 남천면 금곡길 28-75 (금곡리)","053-814-8800"
"제주향교묘지","제주특별자치도 제주시 동샘길 44-14 (영평동)","064-757-2249"
"삼성공원묘원","경기도 양주시 평화로1261번길 328-50 (산북동)","031-843-8444"
"대구중부교회묘지","대구광역시 북구 관음동 산74-1","053-424-5381"
"상전망향의공설묘지","전라북도 진안군 상전면 갈현리 367","063-432-9533"
"천아오름공원묘지","제주특별자치도 제주시 한림읍 광산로 11-50 (상대리)","064-796-4044"
"천주교제주교구묘지","제주특별자치도 제주시 기와5길 117-22 (화북이동)","064-756-5531"
"혜화동성당 방학동묘원","서울특별시 도봉구 방학동 산65-1","02-764-0221"
"포항공원묘원","경상북도 포항시 북구 흥해읍 도음로 764-100 (대련리, 포항공원묘원관리사무실)","054-262-5453"
"천주교용호동공원묘지","부산광역시 남구 용호동 산232","051-629-8730"
"모슬포 천주교공동묘지","제주특별자치도 서귀포시 대정읍 동일리 1249-4","064-794-2074"
"모슬포교회 공동묘지","제주특별자치도 서귀포시 대정읍 동일리 1277","064-794-9427"
"천주교산내공원묘원","대전광역시 동구 삼괴동 산9-1","042-630-7732"
"천주교 창원공원묘원","경상남도 창원시 진해구 경화동 산1-2","055-547-3552"
"천주교가덕공원묘지","충청북도 청주시 상당구 가덕면 시동리 산15","043-298-5880"
"신동아교회묘지","제주특별자치도 제주시 해안동 195","064-799-5272"
"신세계공원","경기도 양주시 장흥면 권율로29번길 170 (일영리)","031-855-1241"
"삼덕교회동산","대구광역시 달성군 가창면 옥분리 산35-3","053-423-3271"
"인천지구황해도민묘지","인천광역시 서구 마전동 산197-1","032-885-7473"
"대구화교협회묘지","대구광역시 달성군 가창면 주리 산212-4","053-255-0561"
"대구공원","경상북도 경산시 남천면 하도리 산185","053-816-0834"
"길음동성당 묘원","경기도 양주시 장흥면 호국로785번길 18-96 (울대리)","02-912-4611"
"충주천주교회 성요셉공원묘원","충청북도 충주시 단월동 산33-1","043-845-1010"
"노안면공설묘지(폐쇄)","전라남도 나주시 노안면 유곡리 산163","061-061-8604"
"삼각지성당 하늘묘원","경기도 파주시 조리읍 정문로 126-101 (뇌조리, 천주교삼각지교회묘지관리실)","031-943-6489"
"산곡동공설묘지","경기도 의정부시 산곡동 산74","031-828-4195"
"서울노회유지재단 법인묘지","경기도 가평군 상면 물골길 393 (봉수리, 남부교회수양관)","02-763-7279"
"보령시마을단위공원묘지","충청남도 보령시 웅천읍 수부리 산33-1","043-930-4503"
"자일동공설묘지","경기도 의정부시 호국로1694번길 30-70 (자일동)","031-828-4195"
"(재)동산공원묘원 묘지","경상남도 의령군 부림면 함의로 2180-269 (경산리)","055-574-8181"
"(재)성산공원(묘지)","전라북도 군산시 성산면 왕골로 239-29 (대명리, 성산공원)","063-453-5510"
"상효동공설묘지","제주특별자치도 서귀포시 상효동 1927","064-760-6521"
"(재)천주교유지재단 청주교구묘원","충청북도 증평군 증평읍 미암리 산114-1","043-838-8141"
"김포성당 매괴의모후 묘원","경기도 김포시 북변로 29-12 (북변동)","031-983-8811"
"칠곡성당공동묘원","대구광역시 북구 읍내동 산83","053-323-1501"
"대구중앙교회 부활의동산","대구광역시 북구 읍내동 산58","053-341-2511"
"광대리 공원묘지","경기도 여주시 세종대왕면 광대리 198-18","031-887-2264"
"광양시립영세공원 묘지","전라남도 광양시 광양읍 직동1길 300 (죽림리)","061-762-4449"
"대구칠곡교회묘지","대구광역시 북구 국우동 산84","053-324-9191"
"구룡공설공원묘지","경상남도 함양군 함양읍 구룡리 산11","055-960-4920"
"서소문교회동산","경기도 파주시 조리읍 오산리 산5","02-755-4635"
"영암군군서공설묘지","전라남도 영암군 군서면 동구림리 산42","061-470-2647"
"영암군금정공설묘지","전라남도 영암군 금정면 용흥리 산227","061-470-2643"
"영암군시종공설묘지","전라남도 영암군 시종면 월송리 산1","061-470-2645"
"영암군신북공설묘지","전라남도 영암군 신북면 월평리 산35","061-470-2644"
"영암군학산공설묘지","전라남도 영암군 학산면 상월리 산139-13","061-470-2649"
"안양시안산공설묘지(만장)","경기도 안산시 단원구 화정동 산116-1",""
"용산성당 청계묘원","경기도 의왕시 학의동 산12-1","02-713-7508"
"구미시선산공설묘지(만장)","경상북도 구미시 선산읍 봉곡리 산41","054-480-5188"
"홍성군공원묘지","충청남도 홍성군 갈산면 부기리 3","041-630-9823"
"대야리공설묘지","강원특별자치도 영월군 김삿갓면 대야리 산56","033-370-2315"
"청암교회(청암동산)","경기 파주시 조리읍 뇌조리 568-5","02-702-6761"
"신현교회 묘지","경기도 파주시 탄현면 축현리 산53-1","02-312-2114"
"오식도공설묘지(민간위탁)","전라북도 군산시 오식도동 503-2","063-445-3400"
"최자실기도원 공원묘지","경기도 파주시 조리읍 오산리 산86","031-947-0091"
"불광동성당 바다의별묘원","경기도 파주시 광탄면 신산리 산3-1","02-355-0545"
"신광교회 묘지","경기도 파주시 파주읍 백석리 산40-9","031-952-5306"
"천주교 김천공원묘지","경상북도 김천시 개령면 황계길 280-41 (황계리)","054-433-3880"
