시설명,주소,전화번호,출처파일
"광양서울병원장례식장","전라남도 광양시 진등길 93 (마동, 광양서울병원)","02-794-4440","15774129-2025-12-22전남.csv"
"메디팜병원장례식장","전라남도 순천시 양율길 306 (인월동)","061-741-4411","15774129-2025-12-22전남.csv"
"벌교중앙장례식장","전라남도 보성군 벌교읍 원동길 89 (척령리)","061-857-3000","15774129-2025-12-22전남.csv"
"나주예림장례식장","전라남도 나주시 예향로 3795 (이창동)","061-335-4406","15774129-2025-12-22전남.csv"
"고흥봉황장례식장","전라남도 고흥군 고흥읍 신호산장길 3 (호형리)","061-833-4442","15774129-2025-12-22전남.csv"
"해남국제장례식장","전라남도 해남군 해남읍 남부순환로 321-37 (용정리)","061-536-4494","15774129-2025-12-22전남.csv"
"완도대성병원장례식장","전라남도 완도군 완도읍 청해진동로 63 (가용리)","061-554-4456","15774129-2025-12-22전남.csv"
"곡성섬진장례식장","전라남도 곡성군 곡성읍 곡성로 935 (읍내리)","061-362-9200","15774129-2025-12-22전남.csv"
"곡성옥과장례식장","전라남도 곡성군 겸면 곡순로 2088 (가정리)","061-362-4448","15774129-2025-12-22전남.csv"
"영광농협장례식장(영광낙원장례식장)","전라남도 영광군 영광읍 영대로 213 (월평리)","061-353-0444","15774129-2025-12-22전남.csv"
"춘추장례식장","전라남도 보성군 벌교읍 원동길 81 (척령리)","061-858-4441","15774129-2025-12-22전남.csv"
"고금번영회장례식장","전라남도 완도군 고금면 고금동로 117 (덕암리)","061-555-4400","15774129-2025-12-22전남.csv"
"(유)무안병원장례식장","전라남도 무안군 무안읍 몽탄로 65 (성동리)","061-453-0068","15774129-2025-12-22전남.csv"
"삼목장례프리드","전라남도 목포시 청호로220번길 17 (산정동)","061-274-4441","15774129-2025-12-22전남.csv"
"해남현대장례식장","전라남도 해남군 해남읍 남부순환로 345 (용정리)","061-537-2222","15774129-2025-12-22전남.csv"
"목포봉황장례문화원","전라남도 목포시 삼학로 154 (산정동)","061-242-2222","15774129-2025-12-22전남.csv"
"목포효성요양병원장례식장","전라남도 목포시 양을로 456 (상동, 효성요양병원)","061-273-4422","15774129-2025-12-22전남.csv"
"해남우리병원장례식장","전라남도 해남군 옥천면 해남로 597 (영신리)","061-532-4446","15774129-2025-12-22전남.csv"
"해남군산림조합장례식장","전라남도 해남군 해남읍 신안길 2-22 (고도리)","061-532-4444","15774129-2025-12-22전남.csv"
"㈜영산포한우리장례식장","전라남도 나주시 왕곡면 영산포로 30-11 (장산리)","061-335-4949","15774129-2025-12-22전남.csv"
"나주중앙요양병원장례식장","전라남도 나주시 영산로 5406 (성북동)","061-333-0444","15774129-2025-12-22전남.csv"
"노화장례문화센터","전라남도 완도군 노화읍 노화로 789 (이포리)","02-554-0444","15774129-2025-12-22전남.csv"
"엠지(MG)새마을금고 장례식장","전라북도 남원시 요천로 1237 (조산동, 장례식장)","063-636-4141","15774129-2025-12-22전북.csv"
"모현장례문화원","전라북도 익산시 오산면 무왕로2길 321-20 (장신리)","063-853-9889","15774129-2025-12-22전북.csv"
"(주)모악장례문화원","전라북도 전주시 완산구 우림로 1109 (삼천동2가)","063-221-4400","15774129-2025-12-22전북.csv"
"실로암사랑요양병원장례식장","전라북도 익산시 선화로 389 (영등동)","063-858-4444","15774129-2025-12-22전북.csv"
"부안효병원장례식장","전라북도 부안군 행안면 염소로 25 (역리)","063-582-3939","15774129-2025-12-22전북.csv"
"(유)태영장례 익산병원장례식장","전라북도 익산시 무왕로 969익산병원장례식장 (신동, 익산병원)","063-851-9444","15774129-2025-12-22전북.csv"
"(유)예수병원장례식장","전라북도 전주시 완산구 서원로 365 (중화산동1가, 예수병원)","063-285-1009","15774129-2025-12-22전북.csv"
"원광대학교병원장례문화원(천도장례식장)","전라북도 익산시 무왕로 895 (신동) 원광대학교병원 장례식장","063-855-1734","15774129-2025-12-22전북.csv"
"월명장례식장","전라북도 군산시 미룡갈마길 75 (신관동)","063-468-4851","15774129-2025-12-22전북.csv"
"효자장례타운","전라북도 전주시 완산구 콩쥐팥쥐로 1705-36 (효자동3가)","063-228-4441","15774129-2025-12-22전북.csv"
"(유)익산팔봉장례식장","전라북도 익산시 무왕로 1671 (덕기동, 익산팔봉장례식장)","063-833-8080","15774129-2025-12-22전북.csv"
"함열장례식장","전라북도 익산시 함열읍 정동1길 6-9 (와리)","063-862-4444","15774129-2025-12-22전북.csv"
"고창우리장례식장","전라북도 고창군 고창읍 녹두로 1313-6 (읍내리)","063-564-3322","15774129-2025-12-22전북.csv"
"유림장례식장","전라북도 정읍시 명덕로 54 (연지동, 유림웨딩홀)","063-534-4444","15774129-2025-12-22전북.csv"
"순창온누리장례식장","전라북도 순창군 순창읍 남계로 14 (교성리 659-24)","063-653-4482","15774129-2025-12-22전북.csv"
"(유)우석개발","전라북도 익산시 목천로 118 (목천동)","063-837-4444","15774129-2025-12-22전북.csv"
"고인돌장례식장","전라북도 고창군 고창읍 녹두로 1295(읍내리, 고인돌장례식장)","063-562-3223","15774129-2025-12-22전북.csv"
"시티장례문화원","전라북도 전주시 완산구 콩쥐팥쥐로 1614 (상림동)","063-274-4444","15774129-2025-12-22전북.csv"
"정읍장례문화원","전라북도 정읍시 벚꽃로 131 (연지동)","063-535-7777","15774129-2025-12-22전북.csv"
"전주시민장례문화원","전라북도 전주시 완산구 유연로 27 (효자동3가)","063-263-4444","15774129-2025-12-22전북.csv"
"효천장례원","전북특별자치도 전주시 완산구 삼천동3가 943-5","063-226-4444","15774129-2025-12-22전북.csv"
"장계 공설장례식장","전라북도 장수군 장계면 진장로 1876 (무농리)","063-351-4444","15774129-2025-12-22전북.csv"
"장수군보건의료원장례식장","전라북도 장수군 장수읍 장천로 247 (장수리, 장수보건의료원)","063-351-8050","15774129-2025-12-22전북.csv"
"전주고려병원장례식장","전라북도 전주시 덕진구 안덕원로 367 (산정동)","063-242-9944","15774129-2025-12-22전북.csv"
"(유)은파장례문화원","전라북도 군산시 미성로 512 (미룡동)","063-445-4444","15774129-2025-12-22전북.csv"
"군산의료원장례식장 오행원","전라북도 군산시 의료원로 27 (지곡동)","063-472-5740","15774129-2025-12-22전북.csv"
"새만금장례식장","전라북도 김제시 하동1길 33 (하동)","063-545-0033","15774129-2025-12-22전북.csv"
"동전주 장례문화원","전북특별자치도 전주시 덕진구 금상길 69 (금상동)","063-243-4444","15774129-2025-12-22전북.csv"
"김제우석병원장례식장","전라북도 김제시 서암4길 45 (서암동)","063-543-4484","15774129-2025-12-22전북.csv"
"그랜드중앙장례식장","제주특별자치도 제주시 월랑로 91 (이호이동)","064-721-1000","15774129-2025-12-22제주.csv"
"김녕농협 장례문화센터","제주특별자치도 제주시 구좌읍 김송로 102 (김녕리)","064-783-6511","15774129-2025-12-22제주.csv"
"우선종합(주)장례식장","제주특별자치도 제주시 조천읍 함덕남2길 14 (함덕리)","064-727-4444","15774129-2025-12-22제주.csv"
"서산의료원상례원","충청남도 서산시 중앙로 149 (석림동)","041-689-7444","15774129-2025-12-22충남.csv"
"순천향천안장례식장","충청남도 천안시 동남구 순천향6길 30 (봉명동, 순천향대학교천안병원)","041-570-2444","15774129-2025-12-22충남.csv"
"태안군보건의료원 상례원","충청남도 태안군 태안읍 서해로 1952-16 (평천리, 태안군보건의료원)","041-671-5303","15774129-2025-12-22충남.csv"
"고덕장례문화원","충청남도 예산군 고덕면 예덕로 592 (대천리)","041-337-4440","15774129-2025-12-22충남.csv"
"로고스요양병원 장례식장","충청남도 천안시 동남구 청수로 123-10 (구성동)","041-414-4445","15774129-2025-12-22충남.csv"
"청담장례문화원","충청남도 예산군 예산읍 차동로 1451 (대회리)","041-331-7000","15774129-2025-12-22충남.csv"
"단국대학교병원 천안장례식장","충청남도 천안시 동남구 망향로 201 (안서동)","041-550-7474","15774129-2025-12-22충남.csv"
"백제병원장례식장","충청남도 논산시 시민로294번길 14 (내동)","041-735-1022","15774129-2025-12-22충남.csv"
"보령수협장례식장","충청남도 보령시 대해로 258-9 (남곡동)","041-932-4004","15774129-2025-12-22충남.csv"
"보람상조리더스(주)천안국빈장례식장","충청남도 천안시 동남구 풍세로 835, 천안국빈장례식장 (용곡동, 청담웨딩홀)","041-578-0082","15774129-2025-12-22충남.csv"
"장곡농협홍주장례식장","충청남도 홍성군 구항면 충서로966번길 32 (청광리)","041-634-4444","15774129-2025-12-22충남.csv"
"황산장례문화원","충청남도 논산시 계백로 1161 (덕지동)","041-733-4447","15774129-2025-12-22충남.csv"
"신평장례식장","충청남도 당진시 신평면 말목길 22-33 (금천리)","041-363-4446","15774129-2025-12-22충남.csv"
"주식회사 건양대부여장례식장","충청남도 부여군 부여읍 계백로 200 (동남리, 건양대부여병원)","041-837-4441","15774129-2025-12-22충남.csv"
"충남보령아산병원장례식장","충청남도 보령시 죽성로 136-1 (죽정동)","041-930-5631","15774129-2025-12-22충남.csv"
"계룡장례식장","충청남도 공주시 창벽로 182 (소학동)","041-853-4444","15774129-2025-12-22충남.csv"
"놀뫼시민장례원","충청남도 논산시 원댕이길 12 (내동)","041-733-0404","15774129-2025-12-22충남.csv"
"성월장례문화원","충청남도 천안시 서북구 성환읍 천안대로 2096 (성월리)","041-588-4444","15774129-2025-12-22충남.csv"
"서해병원장례식장","충청남도 서천군 서천읍 서천로 184 (사곡리)","041-953-4440","15774129-2025-12-22충남.csv"
"신풍장례문화원","충청남도 공주시 신풍면 차동로 1817-34 (백룡리)","041-841-4442","15774129-2025-12-22충남.csv"
"청양훈병원장례식장","충청남도 청양군 청양읍 칠갑산로 157 (송방리)","041-943-8441","15774129-2025-12-22충남.csv"
"우리하늘장례원","충청남도 논산시 연무읍 안심로 280 (안심리)","041-741-4404","15774129-2025-12-22충남.csv"
"합자회사 서서천장례문화원","충청남도 서천군 비인면 충서로 862 (선도리)","041-952-7778","15774129-2025-12-22충남.csv"
"제천서울병원장례식장","충청북도 제천시 숭문로 57 (서부동, 서울병원)","043-644-4422","15774129-2025-12-22충북.csv"
"하나장례식장","충청북도 청주시 서원구 대림로 431 (죽림동)","043-270-8400","15774129-2025-12-22충북.csv"
"제천세종장례식장","충청북도 제천시 송학주천로 46 (고암동)","043-642-4441","15774129-2025-12-22충북.csv"
"충주기독장례식장","충청북도 충주시 성남2길 7 (성남동)","043-844-4460","15774129-2025-12-22충북.csv"
"옥천성모장례식장","충청북도 옥천군 옥천읍 성왕로 1195 (문정리, 옥천성모병원)","043-730-7444","15774129-2025-12-22충북.csv"
"청주탑요양병원장례식장","충청북도 청주시 서원구 궁뜰로 16(미평동)","043-296-9696","15774129-2025-12-22충북.csv"
"진천제일장례식장","충청북도 진천군 진천읍 진광로 190 (송두리)","043-537-4441","15774129-2025-12-22충북.csv"
"초정유진장례식장","충청북도 청주시 청원구 내수읍 우산길 91 (우산리)","043-213-0030","15774129-2025-12-22충북.csv"
"참사랑병원장례식장","충청북도 청주시 서원구 청남로 1910 (미평동)","043-298-9200","15774129-2025-12-22충북.csv"
"보은성모병원장례식장","충청북도 보은군 보은읍 뱃들로 53 (이평리)","043-544-7444","15774129-2025-12-22충북.csv"
"영동장례식장","충청북도 영동군 영동읍 난계로 804-46 (오탄리)","043-744-0454","15774129-2025-12-22충북.csv"
"괴산동부장례식장","충청북도 괴산군 괴산읍 괴강로 144 (동부리)","043-834-4040","15774129-2025-12-22충북.csv"
"농협장례문화원","충청북도 진천군 이월면 진광로 302-1 (중산리)","043-533-8004","15774129-2025-12-22충북.csv"
"의)증평휴장례식장","충청북도 증평군 증평읍 중앙로 114지하1층 (초중리)","043-838-6663","15774129-2025-12-22충북.csv"
"송원장례문화원","충청북도 충주시 주덕읍 신양로 62 (신양리)","043-724-2211","15774129-2025-12-22충북.csv"
"증평장례문화원","충청북도 증평군 증평읍 하평로 55-27 (미암리)","043-838-9936","15774129-2025-12-22충북.csv"
"제천노인병원장례식장","충청북도 제천시 북부로13길 94 (천남동, 제천병원)","043-651-4444","15774129-2025-12-22충북.csv"
"고려대구로병원장례식장","서울특별시 구로구 구로동로 148 (구로동, 고려대부속구로병원)","02-857-0444","zang seoul.csv"
"연세대학교 신촌장례식장","서울특별시 서대문구 연세로 50-1 (신촌동, 연세의료원)","02-2227-7500","zang seoul.csv"
"가톨릭대학교 은평성모장례식장","서울특별시 은평구 통일로 1021,은평성모장례식장 (진관동)","02-2030-4444","zang seoul.csv"
"한국보훈복지의료공단중앙보훈병원","서울특별시 강동구 진황도로61길 53 (둔촌동, 중앙보훈병원)","02-2225-1004","zang seoul.csv"
"여의도성모장례식장","서울특별시 영등포구 63로 10 (여의도동, 여의도성모병원)","02-3779-1526","zang seoul.csv"
"순천향서울장례식장","서울특별시 용산구 대사관로 59 (한남동, 순천향대학병원)","02-797-4444","zang seoul.csv"
"복지장례문화원","서울특별시 영등포구 도림로 142 (대림동)","02-846-4444","zang seoul.csv"
"서울특별시 서울의료원 장례식장","서울특별시 중랑구 신내로 156후문 (장례식장)","02-2276-7671","zang seoul.csv"
"더조은장례식장","서울특별시 노원구 화랑로 323 지하1층, 지하3층 (월계동)","02-941-4444","zang seoul.csv"
"성애장례식장","서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)","02-844-4444","zang seoul.csv"
"면목녹색병원 장례식장","서울특별시 중랑구 사가정로49길 53장례식장 (면목동, 원진재단부설녹색병원)","02-493-4444","zang seoul.csv"
"한림대 강남성심병원장례식장","서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)","02-833-3794","zang seoul.csv"
"주식회사정겨운(우신장례식장)","서울특별시 관악구 시흥대로 572 지하층 우신장례식장 (신림동, 한성빌딩)","02-838-4444","zang seoul.csv"
"한양대학병원장례식장","서울특별시 성동구 왕십리로 222-1 (사근동, 한양대학부속병원)","02-2290-9442","zang seoul.csv"
"동주병원장례식장","서울특별시 강동구 천호대로170길 19 (성내동)","02-471-4444","zang seoul.csv"
"쉴낙원 서울제중장례식장","서울특별시 구로구 새말로 60 (구로동, 제중요양병원)","02-1480-7121","zang seoul.csv"
